iter	Logloss
0	0.5802508157
1	0.5091252906
2	0.4624063692
3	0.4329932412
4	0.4087945918
5	0.3943822468
6	0.3805687048
7	0.3714572001
8	0.3655881116
9	0.3588094627
10	0.3553436808
11	0.3519773632
12	0.3482088823
13	0.3459066312
14	0.3444365938
15	0.3421016473
16	0.3400950202
17	0.3385334228
18	0.3379315923
19	0.3351375625
20	0.3332773985
21	0.3327299517
22	0.331510921
23	0.3306323024
24	0.3289512748
25	0.3278979415
26	0.3262522763
27	0.3252684133
28	0.3247437901
29	0.3237261325
30	0.3228424262
31	0.3222822822
32	0.321821846
33	0.3212933336
34	0.3207929989
35	0.3198149404
36	0.3179903243
37	0.3173589389
38	0.3167901334
39	0.3159889723
40	0.3156536588
41	0.3150673223
42	0.3148273217
43	0.3144993931
44	0.3137502126
45	0.3129533585
46	0.3127979587
47	0.3123537229
48	0.3117057199
49	0.3111951722
50	0.3104476564
51	0.3096957356
52	0.3092042342
53	0.308773324
54	0.3082227496
55	0.3078358564
56	0.3069948868
57	0.3064704877
58	0.3060714411
59	0.30495875
60	0.3045244683
61	0.3039141561
62	0.3035781624
63	0.3032206264
64	0.3027711894
65	0.3024511382
66	0.3017271611
67	0.3014092496
68	0.3007107363
69	0.2999571554
