iter	Passed	Remaining
0	3	246
1	6	235
2	10	226
3	13	221
4	16	218
5	20	214
6	23	208
7	26	205
8	29	198
9	32	196
10	34	187
11	38	184
12	41	181
13	44	179
14	48	177
15	51	174
16	54	171
17	58	168
18	61	166
19	65	162
20	68	159
21	71	156
22	74	153
23	78	149
24	81	146
25	84	143
26	88	140
27	91	137
28	94	134
29	98	130
30	101	127
31	104	124
32	108	121
33	111	118
34	114	114
35	117	111
36	121	108
37	124	104
38	127	101
39	130	98
40	133	94
41	136	91
42	139	87
43	141	83
44	143	79
45	146	76
46	148	72
47	150	69
48	152	65
49	154	61
50	156	58
51	158	54
52	160	51
53	162	48
54	164	44
55	165	41
56	167	38
57	169	35
58	170	31
59	172	28
60	174	25
61	176	22
62	177	19
63	179	16
64	181	13
65	183	11
66	184	8
67	186	5
68	188	2
69	190	0
